Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
M. Jean-Pierre VIGIER;LR;25 621;32,24;68,35;Oui
Mme Azelma SIGAUX;NUP;11 862;14,93;31,65;Non
;Nombre;% Inscrits;% Votants
Inscrits;79 477;;
Abstentions;39 753;50,02;
Votants;39 724;49,98;
Blancs;1 485;1,87;3,74
Nuls;756;0,95;1,90
Exprimés;37 483;47,16;94,36
Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
M. Jean-Pierre VIGIER;LR;18 850;23,71;45,68;Ballotage*
Mme Azelma SIGAUX;NUP;8 166;10,27;19,79;Ballotage*
M. Thierry PEREZ;RN;5 618;7,07;13,61;Non
M. Christian ALLEGRE;ENS;4 764;5,99;11,54;Non
Mme Clémence D'AUBIGNAN;REC;1 041;1,31;2,52;Non
M. Jean-Philippe CLEMENT;ECO;856;1,08;2,07;Non
M. Philippe COCHET;ECO;578;0,73;1,40;Non
Mme Corine BARBIER;DSV;495;0,62;1,20;Non
M. Antoine BREBION;DXG;375;0,47;0,91;Non
M. Clément LAFONT;REG;367;0,46;0,89;Non
M. Théophile CLOEZ;DIV;156;0,20;0,38;Non
;Nombre;% Inscrits;% Votants
Inscrits;79 494;;
Abstentions;37 177;46,77;
Votants;42 317;53,23;
Blancs;717;0,90;1,69
Nuls;334;0,42;0,79
Exprimés;41 266;51,91;97,52
