Liste des candidats;Voix;% Inscrits;% Exprimés
M. Emmanuel MACRON;76 233;43,04;63,35
Mme Marine LE PEN;44 112;24,91;36,65
;Nombre;% Inscrits;% Votants
Inscrits;177 116;;
Abstentions;37 641;21,25;
Votants;139 475;78,75;
Blancs;14 104;7,96;10,11
Nuls;5 026;2,84;3,60
Exprimés;120 345;67,95;86,28
Liste des candidats;Voix;% Inscrits;% Exprimés
M. Emmanuel MACRON;32 821;18,53;23,51
Mme Marine LE PEN;32 185;18,17;23,06
M. François FILLON;25 956;14,65;18,60
M. Jean-Luc MÉLENCHON;25 419;14,35;18,21
M. Nicolas DUPONT-AIGNAN;8 346;4,71;5,98
M. Benoît HAMON;7 435;4,20;5,33
M. Jean LASSALLE;3 112;1,76;2,23
M. Philippe POUTOU;1 928;1,09;1,38
M. François ASSELINEAU;1 050;0,59;0,75
Mme Nathalie ARTHAUD;1 043;0,59;0,75
M. Jacques CHEMINADE;282;0,16;0,20
;Nombre;% Inscrits;% Votants
Inscrits;177 158;;
Abstentions;32 875;18,56;
Votants;144 283;81,44;
Blancs;3 341;1,89;2,32
Nuls;1 365;0,77;0,95
Exprimés;139 577;78,79;96,74
