Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
Mme Isabelle VALENTIN;LR;26 705;27,31;58,72;Oui
Mme Cécile GALLIEN;REM;18 772;19,20;41,28;Non
;Nombre;% Inscrits;% Votants
Inscrits;97 790;;
Abstentions;49 133;50,24;
Votants;48 657;49,76;
Blancs;2 217;2,27;4,56
Nuls;963;0,98;1,98
Exprimés;45 477;46,50;93,46
Liste des candidats;Nuances;Voix;% Inscrits;% Exprimés;Elu(e)
Mme Isabelle VALENTIN;LR;21 615;22,10;40,89;Ballotage**
Mme Cécile GALLIEN;REM;16 423;16,79;31,07;Ballotage**
M. Fabien ALBERTINI;FN;4 974;5,09;9,41;Non
Mme Martine DEJEAN;FI;4 721;4,83;8,93;Non
M. Fabrice FARISON;SOC;1 453;1,49;2,75;Non
Mme Anne BADIAN-LHERMET;ECO;1 402;1,43;2,65;Non
M. Yves PRAT;DVG;940;0,96;1,78;Non
M. Philippe COCHET;ECO;471;0,48;0,89;Non
M. Gabriel CARDAIRE;DLF;421;0,43;0,80;Non
M. Pierre MICHALLET;EXG;259;0,26;0,49;Non
M. Michaël MASCLET;DIV;178;0,18;0,34;Non
Mme Hélène DENIS;DIV;0;0,00;0,00;Non
;Nombre;% Inscrits;% Votants
Inscrits;97 787;;
Abstentions;44 035;45,03;
Votants;53 752;54,97;
Blancs;620;0,63;1,15
Nuls;275;0,28;0,51
Exprimés;52 857;54,05;98,33
