;Nombre;% Inscrits;% Votants
Inscrits;80 283;;
Abstentions;30 435;37,91;
Votants;49 848;62,09;
Blancs ou nuls;1 906;2,37;3,82
Exprimés;47 942;59,72;96,18
Liste des candidats;Voix;% Inscrits;% Exprimés;Elu(e)
UMP;M. Jean-Pierre VIGIER;24 698;30,76;51,52;oui
SOC;M. André CHAPAVEIRE;23 244;28,95;48,48;
;Nombre;% Inscrits;% Votants
Inscrits;80 304;;
Abstentions;31 025;38,63;
Votants;49 279;61,37;
Blancs ou nuls;1 231;1,53;2,50
Exprimés;48 048;59,83;97,50
Liste des candidats;Voix;% Inscrits;% Exprimés;Elu(e)
ECO;Mme Celline GACON;1 799;2,24;3,74;
UMP;M. Jean-Pierre VIGIER;18 351;22,85;38,19;
FG;Mme Michelle CHAUMET;3 332;4,14;6,93;
AUT;M. William THEAUX;29;0,03;0,06;
FN;Mme Maria RAIA;4 950;6,16;10,30;
SOC;M. André CHAPAVEIRE;17 229;21,45;35,86;
AUT;M. Alexis MONJAUZE;1 522;1,89;3,17;
EXG;Mme Annie BOUBAULT;322;0,40;0,67;
ECO;Mme Johanna SEYTRE;514;0,64;1,07;
